devnagri,Phonetic Transcription
अ,a
अ,a
आ,A
ा,A
इ,i
ि,i
ई,I
ी,I
उ,u
ु,u
ऊ,U
ू,U
ए,E
े,E
ॲ,eo
ऍ,eo
ॅ,eo
ओ,O
ो,O
ऑ,ao
ॉ,ao
ऐ,ai
ै,ai
औ,au
ौ,au
ऋ,x
ृ,x
ॠ,X
ॄ,X
ऌ,q
ॢ,q
ॡ,Q
ॣ,Q
ऎ,e
ॆ,e
ऒ,o
ॊ,o
ँ,M’
ं,M
ः,H
क,ka
ख,kha
ग,ga
घ,gha
ङ,ng'a
च,ca
च,ca
छ,cha
ज,ja
ज,ja
झ,jha
झ,jha
ञ,nj'a
ट,Ta
ठ,Tha
ड,Da
ढ,Dha
ण,Na
त,ta
थ,tha
द,da
ध,dha
न,na
प,pa
फ*,pha
ब,ba
भ,bha
म,ma
य,ya
र,ra
ल,la
व,va
श,sha
ष*,Sa
स,sa
ह,ha
ळ,La
ऴ,Za
क्ष*,ks
ज्ञ*,dn
ॐ,om
श्री,shree
०,0
१,1
२,2
३,3
४,4
५,5
६,6
७,7
८,8
९,9
