आंवयन ãvɨjn ãvəjən
वचपाक vət͡spak vət͡ʃəpak
वचूंक vət͡sũk vət͡ʃũk
वचोन vət͡sun vət͡ʃon
वणटीक vəɳʈik vəɳəʈik
वयर vɨjr vəjər
वयल्यान vɨjljan vəjəljan
वर्साचो vərsat͡sɔ vərsat͡ʃo
वाडोवं vaɖõʋ vaɖovə̃
वेंत vɛ̃t vẽt
वेताची ʋɛtat͡ʃi vetat͡ʃi
व्हडले vʱəɭɭɛ vhəɖəle
व्हडलें vʰəɭɭɛ̃ vhəɖəlẽ
व्हडें vʱəɖɛ̃ vhəɖẽ
शाणें ʃaɳɛ̃ ʃaɳẽ
शीं ʃĩ: ʃĩ
शेतकारान ʃɛtkaran ʃetəkaran
शेतांत ʃɛtãt ʃetãt
संवय sə̃vɨj sə̃vəj
सकयल səkəjl səkəjəl
सगळीं səgɭĩ səgəɭĩ
सगळे səgɭɛ səgəɭe
सगळ्यांक səgɭjãk səgəɭjãk
सरचें sərt͡ʃɛ̃ sərət͡ʃẽ
सवणीं səʋɳĩ səvəɳĩ
सांग sãŋ sãg
सामके samkɛ saməke
सामको samkɔ saməko
सुंदर sundər sũdər
सूंठ sũ:ʈʰ sũʈʰ
सूट su:ʈ suʈ
सोंपो sɔ̃pɔ sõpo
सोंशाचीं sɔ̃ʃat͡ʃĩ sõʃat͡ʃĩ
सोपो sɔpɔ sopo
हांंगा hãŋã hã̃ga
हांकां hãŋkã hãkã
हांगच्यान hãŋt͡ʃan hãgət͡ʃjan
हांगा haŋã hãga
हांगां haŋã hãgã
हांगाच hãŋãt͡s hãgat͡ʃ
हांव hãʋ hãv
हालोंवचो haloʋt͡sɔ halõvət͡ʃo
हें hɛ̃ hẽ
हो hɔ ho
