अजय əd͡zəj
म्हूण mhuɳ
येता jeta
येना jena
यो jo
रागार ragar
रिमोट rimoʈ
रे re
रोंपो rõpo
रोप rop
रोयल्या rojəlja
लांब lãb
लांबयला lãbəjəla
लागता lagəta
लागना lagəna
लागलीं lagəlĩ
लायला lajəla
लिपला lipəla
लॅम्प lɛmp
लेगीत legit
वंय və̃j
वचपाक vət͡ʃəpak
वचूंक vət͡ʃũk
वचोन vət͡ʃon
वणटीक vəɳəʈik
वता vəta
वतां vətã
वय vəj
वयर vəjər
वयल्यान vəjəljan
वर्गांत vərgãt
वर्सा vərsa
वर्साचो vərsat͡ʃo
वांट vãʈ
वाट vaʈ
वाटेर vaʈer
वाडोवं vaɖovə̃
विशीं viʃĩ
वेंत vẽt
वेताची vetat͡ʃi
वॉर्निंग vɔrnĩg
वोंपलें võpəlẽ
व्हडले vhəɖəle
व्हडलें vhəɖəlẽ
व्हडें vhəɖẽ
व्हर vhər
शाणें ʃaɳẽ
शाळेंत ʃaɭẽt
शिंकता ʃĩkəta
शिकता ʃikəta
शी ʃi
शीं ʃĩ
शेतकारान ʃetəkaran
शेतांत ʃetãt
संवय sə̃vəj
सकयल səkəjəl
सकाळीं səkaɭĩ
सगळीं səgəɭĩ
सगळे səgəɭe
सगळ्यांक səgəɭjãk
सर sər
सरचें sərət͡ʃẽ
सरलो sərəlo
सर्ती sərti
सवणीं səvəɳĩ
सवाय səvaj
सांग sãg
सांगलें sãgəlẽ
सांवार sãvar
सामके saməke
सामको saməko
सायबा sajəba
सुंदर sũdər
सूंठ sũʈʰ
सूट suʈ
सोंपो sõpo
सोंशाचीं sõʃat͡ʃĩ
सोपो sopo
सोय soj
हंय hə̃j
हय həj
हांंगा hã̃ga
हांकां hãkã
हांगच्यान hãgət͡ʃjan
हांगा hãga
हांगां hãgã
हांगाच hãgat͡ʃ
हांव hãv
हाचेर hat͡ʃer
हाड haɖ
हाडलें haɖəlẽ
हाडून haɖun
हात hat
हालोंवचो halõvət͡ʃo
ही hi
हीं hĩ
हुनीर hunir
हे he
हें hẽ
हो ho
 
